SMILES,logKoc
c1ccc(-c2ccccc2)cc1,3.25
CCN(CC)C(=O)SCc1ccc(Cl)cc1,3.27
O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl,3.27
CC(C)N(C(=O)SC/C(Cl)=C/Cl)C(C)C,3.28
Clc1cccc(Cl)c1Cl,3.29
c1ccc(Oc2ccccc2)cc1,3.29
O=C(O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)O,3.3
CN(C)c1ccc(C(=N)c2ccc(N(C)C)cc2)cc1,3.31
O=C1[C@H]2CC=CC[C@@H]2C(=O)N1SC(Cl)(Cl)C(Cl)Cl,3.32
ClC(Cl)(Cl)C(Cl)(Cl)Cl,3.34
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,3.34
CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,3.35
Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,3.35
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,3.35
Cc1ccc2nc3sc(=O)sc3nc2c1,3.36
Cc1cccc2ccccc12,3.36
c1ccc2nc3ccccc3nc2c1,3.37
CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,3.38
CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,3.38
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,3.38
CCCCc1ccccc1,3.4
CCCOP(=S)(OCCC)SCC(=O)N1CCCC[C@H]1C,3.44
Cn1c(=O)on(-c2ccc(Cl)c(Cl)c2)c1=O,3.45
Nc1ccc(-c2ccc(N)cc2)cc1,3.46
c1ccc2sccc2c1,3.49
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,3.5
CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,3.51
Nc1cccc2ccccc12,3.51
CCCCCCCCCCCCO,3.52
COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl,3.52
Cc1ccc2ccccc2c1,3.52
Clc1ccccc1-c1ccccc1,3.52
CCCN(CCCl)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],3.55
Oc1cc(Cl)c(Cl)c(Cl)c1,3.56
O=C1c2ccccc2C(=O)c2ccccc21,3.57
